year,parent_entity,parent_type,total_emissions_MtCO2e
1976,Kiewit Mining Group,Investor-owned Company,13.01333481
1977,Kiewit Mining Group,Investor-owned Company,13.30606831
1978,Kiewit Mining Group,Investor-owned Company,13.60538682
1979,Kiewit Mining Group,Investor-owned Company,13.91143847
1980,Kiewit Mining Group,Investor-owned Company,14.22437471
1981,Kiewit Mining Group,Investor-owned Company,14.54435042
1982,Kiewit Mining Group,Investor-owned Company,14.87152395
1983,Kiewit Mining Group,Investor-owned Company,15.20605721
1984,Kiewit Mining Group,Investor-owned Company,15.54811575
1985,Kiewit Mining Group,Investor-owned Company,15.89786887
1986,Kiewit Mining Group,Investor-owned Company,16.25548964
1987,Kiewit Mining Group,Investor-owned Company,16.62115505
1988,Kiewit Mining Group,Investor-owned Company,31.77469747
1989,Kiewit Mining Group,Investor-owned Company,27.8905719
1990,Kiewit Mining Group,Investor-owned Company,28.07374258
1991,Kiewit Mining Group,Investor-owned Company,29.53910805
1992,Kiewit Mining Group,Investor-owned Company,35.95008197
1993,Kiewit Mining Group,Investor-owned Company,26.60837712
1994,Kiewit Mining Group,Investor-owned Company,26.60837712
1995,Kiewit Mining Group,Investor-owned Company,25.32618233
1996,Kiewit Mining Group,Investor-owned Company,26.60837712
1997,Kiewit Mining Group,Investor-owned Company,27.15788917
1998,Kiewit Mining Group,Investor-owned Company,26.24203575
1999,Kiewit Mining Group,Investor-owned Company,27.52423053
2000,Kiewit Mining Group,Investor-owned Company,26.7915478
2001,Kiewit Mining Group,Investor-owned Company,26.42520643
2002,Kiewit Mining Group,Investor-owned Company,26.24203575
2003,Kiewit Mining Group,Investor-owned Company,22.76179276
2004,Kiewit Mining Group,Investor-owned Company,54.63349169
2005,Kiewit Mining Group,Investor-owned Company,51.70276075
2006,Kiewit Mining Group,Investor-owned Company,40.404793
2007,Kiewit Mining Group,Investor-owned Company,67.45543953
2008,Kiewit Mining Group,Investor-owned Company,63.05934313
2009,Kiewit Mining Group,Investor-owned Company,59.05814667
2010,Kiewit Mining Group,Investor-owned Company,59.23496747
2011,Kiewit Mining Group,Investor-owned Company,53.04623953
2012,Kiewit Mining Group,Investor-owned Company,40.18252645
2013,Kiewit Mining Group,Investor-owned Company,35.20325276
2014,Kiewit Mining Group,Investor-owned Company,31.10454665
2015,Kiewit Mining Group,Investor-owned Company,28.71746587
2016,Kiewit Mining Group,Investor-owned Company,21.27331025
2017,Kiewit Mining Group,Investor-owned Company,34.62328054
2018,Kiewit Mining Group,Investor-owned Company,32.74013904
2019,Kiewit Mining Group,Investor-owned Company,36.49050621
2020,Kiewit Mining Group,Investor-owned Company,17.14984831
2021,Kiewit Mining Group,Investor-owned Company,17.14984831
2022,Kiewit Mining Group,Investor-owned Company,32.24150265
1946,Kuwait Petroleum Corp.,State-owned Entity,0.235278959
1947,Kuwait Petroleum Corp.,State-owned Entity,1.42961876
1948,Kuwait Petroleum Corp.,State-owned Entity,2.623958561
1949,Kuwait Petroleum Corp.,State-owned Entity,3.818298363
1950,Kuwait Petroleum Corp.,State-owned Entity,5.012638164
1951,Kuwait Petroleum Corp.,State-owned Entity,7.221867712
1952,Kuwait Petroleum Corp.,State-owned Entity,9.431097261
1953,Kuwait Petroleum Corp.,State-owned Entity,11.64032681
1954,Kuwait Petroleum Corp.,State-owned Entity,13.84955636
1955,Kuwait Petroleum Corp.,State-owned Entity,16.05878591
1956,Kuwait Petroleum Corp.,State-owned Entity,17.78469664
1957,Kuwait Petroleum Corp.,State-owned Entity,19.51060738
1958,Kuwait Petroleum Corp.,State-owned Entity,21.23651812
1959,Kuwait Petroleum Corp.,State-owned Entity,22.96242886
1960,Kuwait Petroleum Corp.,State-owned Entity,24.59861457
1961,Kuwait Petroleum Corp.,State-owned Entity,25.32638423
1962,Kuwait Petroleum Corp.,State-owned Entity,28.52857074
1963,Kuwait Petroleum Corp.,State-owned Entity,30.5663258
1964,Kuwait Petroleum Corp.,State-owned Entity,33.53207224
1965,Kuwait Petroleum Corp.,State-owned Entity,34.40904035
1966,Kuwait Petroleum Corp.,State-owned Entity,36.15787425
1967,Kuwait Petroleum Corp.,State-owned Entity,36.45043992
1968,Kuwait Petroleum Corp.,State-owned Entity,39.27079989
1969,Kuwait Petroleum Corp.,State-owned Entity,41.71521595
1970,Kuwait Petroleum Corp.,State-owned Entity,45.00600073
1971,Kuwait Petroleum Corp.,State-owned Entity,47.7272136
1972,Kuwait Petroleum Corp.,State-owned Entity,79.73175069
1973,Kuwait Petroleum Corp.,State-owned Entity,147.2684747
1974,Kuwait Petroleum Corp.,State-owned Entity,307.8282433
1975,Kuwait Petroleum Corp.,State-owned Entity,316.1488499
1976,Kuwait Petroleum Corp.,State-owned Entity,327.3091083
1977,Kuwait Petroleum Corp.,State-owned Entity,301.9636759
1978,Kuwait Petroleum Corp.,State-owned Entity,326.1065804
1979,Kuwait Petroleum Corp.,State-owned Entity,380.8158108
1980,Kuwait Petroleum Corp.,State-owned Entity,272.6501908
1981,Kuwait Petroleum Corp.,State-owned Entity,200.2104188
1982,Kuwait Petroleum Corp.,State-owned Entity,131.3168927
1983,Kuwait Petroleum Corp.,State-owned Entity,131.2752777
1984,Kuwait Petroleum Corp.,State-owned Entity,172.2395163
1985,Kuwait Petroleum Corp.,State-owned Entity,158.1378225
1986,Kuwait Petroleum Corp.,State-owned Entity,192.2854185
1987,Kuwait Petroleum Corp.,State-owned Entity,161.4973472
1988,Kuwait Petroleum Corp.,State-owned Entity,191.9080421
1989,Kuwait Petroleum Corp.,State-owned Entity,252.8419017
1990,Kuwait Petroleum Corp.,State-owned Entity,165.3519039
1991,Kuwait Petroleum Corp.,State-owned Entity,21.09141071
1992,Kuwait Petroleum Corp.,State-owned Entity,159.5957731
1993,Kuwait Petroleum Corp.,State-owned Entity,285.9980122
1994,Kuwait Petroleum Corp.,State-owned Entity,306.4753457
1995,Kuwait Petroleum Corp.,State-owned Entity,306.4753457
1996,Kuwait Petroleum Corp.,State-owned Entity,306.4753858
1997,Kuwait Petroleum Corp.,State-owned Entity,330.0039222
1998,Kuwait Petroleum Corp.,State-owned Entity,285.1641955
1999,Kuwait Petroleum Corp.,State-owned Entity,259.9120591
2000,Kuwait Petroleum Corp.,State-owned Entity,331.0527721
2001,Kuwait Petroleum Corp.,State-owned Entity,319.0892217
2002,Kuwait Petroleum Corp.,State-owned Entity,305.8787005
2003,Kuwait Petroleum Corp.,State-owned Entity,313.0967939
2004,Kuwait Petroleum Corp.,State-owned Entity,366.2830061
2005,Kuwait Petroleum Corp.,State-owned Entity,341.7115417
2006,Kuwait Petroleum Corp.,State-owned Entity,310.6906304
2007,Kuwait Petroleum Corp.,State-owned Entity,345.440431
2008,Kuwait Petroleum Corp.,State-owned Entity,370.3764996
2009,Kuwait Petroleum Corp.,State-owned Entity,322.1574551
2010,Kuwait Petroleum Corp.,State-owned Entity,325.6966201
2011,Kuwait Petroleum Corp.,State-owned Entity,399.1591085
2012,Kuwait Petroleum Corp.,State-owned Entity,440.6295667
2013,Kuwait Petroleum Corp.,State-owned Entity,414.8837501
2014,Kuwait Petroleum Corp.,State-owned Entity,456.0075807
2015,Kuwait Petroleum Corp.,State-owned Entity,459.6107226
2016,Kuwait Petroleum Corp.,State-owned Entity,460.7934186
2017,Kuwait Petroleum Corp.,State-owned Entity,437.616451
2018,Kuwait Petroleum Corp.,State-owned Entity,443.9977817
2019,Kuwait Petroleum Corp.,State-owned Entity,469.0077585
2020,Kuwait Petroleum Corp.,State-owned Entity,420.687399
2021,Kuwait Petroleum Corp.,State-owned Entity,384.0511124
2022,Kuwait Petroleum Corp.,State-owned Entity,429.7088534
1961,Libya National Oil Corp.,State-owned Entity,0.265665835
1962,Libya National Oil Corp.,State-owned Entity,2.673885554
1963,Libya National Oil Corp.,State-owned Entity,6.755855862
1964,Libya National Oil Corp.,State-owned Entity,12.58710529
1965,Libya National Oil Corp.,State-owned Entity,17.75757975
1966,Libya National Oil Corp.,State-owned Entity,21.949533
1967,Libya National Oil Corp.,State-owned Entity,25.22449648
1968,Libya National Oil Corp.,State-owned Entity,37.82946702
1969,Libya National Oil Corp.,State-owned Entity,45.23816218
1970,Libya National Oil Corp.,State-owned Entity,97.86869938
1971,Libya National Oil Corp.,State-owned Entity,120.601396
1972,Libya National Oil Corp.,State-owned Entity,133.6446702
1973,Libya National Oil Corp.,State-owned Entity,167.1079653
1974,Libya National Oil Corp.,State-owned Entity,127.2364255
1975,Libya National Oil Corp.,State-owned Entity,136.0472703
1976,Libya National Oil Corp.,State-owned Entity,190.4621633
1977,Libya National Oil Corp.,State-owned Entity,218.8428484
1978,Libya National Oil Corp.,State-owned Entity,210.8060696
1979,Libya National Oil Corp.,State-owned Entity,224.7736292
1980,Libya National Oil Corp.,State-owned Entity,191.2425706
1981,Libya National Oil Corp.,State-owned Entity,121.7872088
1982,Libya National Oil Corp.,State-owned Entity,123.2900795
1983,Libya National Oil Corp.,State-owned Entity,119.7655137
1984,Libya National Oil Corp.,State-owned Entity,119.0339036
1985,Libya National Oil Corp.,State-owned Entity,117.0512177
1986,Libya National Oil Corp.,State-owned Entity,115.4238384
1987,Libya National Oil Corp.,State-owned Entity,108.664337
1988,Libya National Oil Corp.,State-owned Entity,129.5904564
1989,Libya National Oil Corp.,State-owned Entity,127.9914783
1990,Libya National Oil Corp.,State-owned Entity,151.2697824
1991,Libya National Oil Corp.,State-owned Entity,162.8987151
1992,Libya National Oil Corp.,State-owned Entity,158.2060845
1993,Libya National Oil Corp.,State-owned Entity,154.2944316
1994,Libya National Oil Corp.,State-owned Entity,156.0507612
1995,Libya National Oil Corp.,State-owned Entity,157.1235972
1996,Libya National Oil Corp.,State-owned Entity,159.2897659
1997,Libya National Oil Corp.,State-owned Entity,165.272978
1998,Libya National Oil Corp.,State-owned Entity,159.2153864
1999,Libya National Oil Corp.,State-owned Entity,149.8688356
2000,Libya National Oil Corp.,State-owned Entity,160.5891015
2001,Libya National Oil Corp.,State-owned Entity,156.6872007
2002,Libya National Oil Corp.,State-owned Entity,152.153517
2003,Libya National Oil Corp.,State-owned Entity,161.2667281
2004,Libya National Oil Corp.,State-owned Entity,175.8337913
2005,Libya National Oil Corp.,State-owned Entity,197.6376372
2006,Libya National Oil Corp.,State-owned Entity,213.7602675
2007,Libya National Oil Corp.,State-owned Entity,224.2320233
2008,Libya National Oil Corp.,State-owned Entity,226.6009237
2009,Libya National Oil Corp.,State-owned Entity,216.6347072
2010,Libya National Oil Corp.,State-owned Entity,218.7892687
2011,Libya National Oil Corp.,State-owned Entity,66.56905946
2012,Libya National Oil Corp.,State-owned Entity,186.7735241
2013,Libya National Oil Corp.,State-owned Entity,136.4545209
2014,Libya National Oil Corp.,State-owned Entity,88.61384875
2015,Libya National Oil Corp.,State-owned Entity,77.9371339
2016,Libya National Oil Corp.,State-owned Entity,76.86305376
2017,Libya National Oil Corp.,State-owned Entity,118.8364648
2018,Libya National Oil Corp.,State-owned Entity,131.6228484
2019,Libya National Oil Corp.,State-owned Entity,147.1277346
2020,Libya National Oil Corp.,State-owned Entity,62.3589007
2021,Libya National Oil Corp.,State-owned Entity,151.2227063
2022,Libya National Oil Corp.,State-owned Entity,152.8821401
1996,Lukoil,Investor-owned Company,171.7536402
1997,Lukoil,Investor-owned Company,183.3386753
1998,Lukoil,Investor-owned Company,196.7255358
1999,Lukoil,Investor-owned Company,230.9090129
2000,Lukoil,Investor-owned Company,239.2664015
2001,Lukoil,Investor-owned Company,224.421952
2002,Lukoil,Investor-owned Company,234.1884681
2003,Lukoil,Investor-owned Company,244.1980263
2004,Lukoil,Investor-owned Company,264.6410868
2005,Lukoil,Investor-owned Company,278.0406719
2006,Lukoil,Investor-owned Company,313.4145507
2007,Lukoil,Investor-owned Company,318.4189561
2008,Lukoil,Investor-owned Company,322.2016982
2009,Lukoil,Investor-owned Company,323.681683
2010,Lukoil,Investor-owned Company,328.348495
2011,Lukoil,Investor-owned Company,312.1858214
2012,Lukoil,Investor-owned Company,313.9649672
2013,Lukoil,Investor-owned Company,325.6949253
2014,Lukoil,Investor-owned Company,343.8312928
2015,Lukoil,Investor-owned Company,356.0061286
2016,Lukoil,Investor-owned Company,333.048195
2017,Lukoil,Investor-owned Company,329.8058881
2018,Lukoil,Investor-owned Company,341.0101415
2019,Lukoil,Investor-owned Company,330.0221933
2020,Lukoil,Investor-owned Company,308.6483543
2021,Lukoil,Investor-owned Company,320.1050933
2022,Lukoil,Investor-owned Company,347.4324992
1938,Marathon Oil,Investor-owned Company,7.673894422
1939,Marathon Oil,Investor-owned Company,8.285878921
1940,Marathon Oil,Investor-owned Company,9.022512618
1941,Marathon Oil,Investor-owned Company,9.968891258
1942,Marathon Oil,Investor-owned Company,10.9152699
1943,Marathon Oil,Investor-owned Company,11.86164854
1944,Marathon Oil,Investor-owned Company,12.73776358
1945,Marathon Oil,Investor-owned Company,12.63049233
1946,Marathon Oil,Investor-owned Company,12.52322107
1947,Marathon Oil,Investor-owned Company,13.17960949
1948,Marathon Oil,Investor-owned Company,14.0478383
1949,Marathon Oil,Investor-owned Company,14.29956832
1950,Marathon Oil,Investor-owned Company,15.49775497
1951,Marathon Oil,Investor-owned Company,17.81821992
1952,Marathon Oil,Investor-owned Company,19.01971082
1953,Marathon Oil,Investor-owned Company,20.38038327
1954,Marathon Oil,Investor-owned Company,20.08762088
1955,Marathon Oil,Investor-owned Company,22.09724083
1956,Marathon Oil,Investor-owned Company,23.28166004
1957,Marathon Oil,Investor-owned Company,23.23859451
1958,Marathon Oil,Investor-owned Company,22.32994937
1959,Marathon Oil,Investor-owned Company,23.92497096
1960,Marathon Oil,Investor-owned Company,23.71937542
1961,Marathon Oil,Investor-owned Company,25.04038458
1962,Marathon Oil,Investor-owned Company,27.72955333
1963,Marathon Oil,Investor-owned Company,30.52323338
1964,Marathon Oil,Investor-owned Company,35.14994274
1965,Marathon Oil,Investor-owned Company,38.43042239
1966,Marathon Oil,Investor-owned Company,43.86329688
1967,Marathon Oil,Investor-owned Company,44.41138694
1968,Marathon Oil,Investor-owned Company,50.02949036
1969,Marathon Oil,Investor-owned Company,54.49065339
1970,Marathon Oil,Investor-owned Company,62.20856625
1971,Marathon Oil,Investor-owned Company,59.97803968
1972,Marathon Oil,Investor-owned Company,58.2854211
1973,Marathon Oil,Investor-owned Company,56.59600421
1974,Marathon Oil,Investor-owned Company,51.61478825
1975,Marathon Oil,Investor-owned Company,50.47275864
1976,Marathon Oil,Investor-owned Company,53.5047143
1977,Marathon Oil,Investor-owned Company,57.64599029
1978,Marathon Oil,Investor-owned Company,55.23678293
1979,Marathon Oil,Investor-owned Company,54.46401125
1980,Marathon Oil,Investor-owned Company,54.27584285
1981,Marathon Oil,Investor-owned Company,54.08767444
1982,Marathon Oil,Investor-owned Company,53.89950604
1983,Marathon Oil,Investor-owned Company,53.71133764
1984,Marathon Oil,Investor-owned Company,53.52316923
1985,Marathon Oil,Investor-owned Company,64.0261372
1986,Marathon Oil,Investor-owned Company,64.0261372
1987,Marathon Oil,Investor-owned Company,57.92769488
1988,Marathon Oil,Investor-owned Company,62.47815659
1989,Marathon Oil,Investor-owned Company,64.54785563
1990,Marathon Oil,Investor-owned Company,59.57105378
1991,Marathon Oil,Investor-owned Company,56.94071957
1992,Marathon Oil,Investor-owned Company,48.96240365
1993,Marathon Oil,Investor-owned Company,45.83659387
1994,Marathon Oil,Investor-owned Company,49.87141428
1995,Marathon Oil,Investor-owned Company,57.93681661
1996,Marathon Oil,Investor-owned Company,56.78752437
1997,Marathon Oil,Investor-owned Company,56.36289752
1998,Marathon Oil,Investor-owned Company,60.09344088
1999,Marathon Oil,Investor-owned Company,63.69091895
2000,Marathon Oil,Investor-owned Company,62.12589481
2001,Marathon Oil,Investor-owned Company,64.28892729
2002,Marathon Oil,Investor-owned Company,62.85380475
2003,Marathon Oil,Investor-owned Company,59.36530408
2004,Marathon Oil,Investor-owned Company,54.30710886
2005,Marathon Oil,Investor-owned Company,48.6666979
2006,Marathon Oil,Investor-owned Company,54.99295555
2007,Marathon Oil,Investor-owned Company,53.40178098
2008,Marathon Oil,Investor-owned Company,62.40027793
2009,Marathon Oil,Investor-owned Company,63.33160521
2010,Marathon Oil,Investor-owned Company,60.62099008
2011,Marathon Oil,Investor-owned Company,60.02160423
2012,Marathon Oil,Investor-owned Company,70.61254848
2013,Marathon Oil,Investor-owned Company,72.88356026
2014,Marathon Oil,Investor-owned Company,68.65630801
2015,Marathon Oil,Investor-owned Company,64.18017596
2016,Marathon Oil,Investor-owned Company,58.97782131
2017,Marathon Oil,Investor-owned Company,59.71487329
2018,Marathon Oil,Investor-owned Company,63.15959884
2019,Marathon Oil,Investor-owned Company,62.13298605
2020,Marathon Oil,Investor-owned Company,57.58647389
2021,Marathon Oil,Investor-owned Company,52.0524829
2022,Marathon Oil,Investor-owned Company,51.29501414
1983,Murphy Oil,Investor-owned Company,12.77005022
1984,Murphy Oil,Investor-owned Company,12.4909057
1985,Murphy Oil,Investor-owned Company,12.78759525
1986,Murphy Oil,Investor-owned Company,12.78759525
1987,Murphy Oil,Investor-owned Company,11.98533531
1988,Murphy Oil,Investor-owned Company,12.49641575
1989,Murphy Oil,Investor-owned Company,12.71076483
1990,Murphy Oil,Investor-owned Company,12.49590831
1991,Murphy Oil,Investor-owned Company,10.37386666
1992,Murphy Oil,Investor-owned Company,11.28114009
1993,Murphy Oil,Investor-owned Company,12.40110901
1994,Murphy Oil,Investor-owned Company,14.32342144
1995,Murphy Oil,Investor-owned Company,15.02965232
1996,Murphy Oil,Investor-owned Company,13.77504812
1997,Murphy Oil,Investor-owned Company,15.51641451
1998,Murphy Oil,Investor-owned Company,14.74943228
1999,Murphy Oil,Investor-owned Company,16.01562472
2000,Murphy Oil,Investor-owned Company,15.60220861
2001,Murphy Oil,Investor-owned Company,17.28604017
2002,Murphy Oil,Investor-owned Company,19.01580084
2003,Murphy Oil,Investor-owned Company,17.87572621
2004,Murphy Oil,Investor-owned Company,17.81122662
2005,Murphy Oil,Investor-owned Company,17.1514626
2006,Murphy Oil,Investor-owned Company,14.78445462
2007,Murphy Oil,Investor-owned Company,14.94647315
2008,Murphy Oil,Investor-owned Company,18.68939069
2009,Murphy Oil,Investor-owned Company,24.17189541
2010,Murphy Oil,Investor-owned Company,27.9674119
2011,Murphy Oil,Investor-owned Company,27.18353605
2012,Murphy Oil,Investor-owned Company,29.42780813
2013,Murphy Oil,Investor-owned Company,30.93755372
2014,Murphy Oil,Investor-owned Company,33.93747321
2015,Murphy Oil,Investor-owned Company,31.26428325
2016,Murphy Oil,Investor-owned Company,26.45432651
2017,Murphy Oil,Investor-owned Company,24.70347262
2018,Murphy Oil,Investor-owned Company,26.05272629
2019,Murphy Oil,Investor-owned Company,27.85272137
2020,Murphy Oil,Investor-owned Company,26.25123106
2021,Murphy Oil,Investor-owned Company,25.2216789
2022,Murphy Oil,Investor-owned Company,26.43928645
1998,Naftogaz,State-owned Entity,52.50464975
1999,Naftogaz,State-owned Entity,52.50464975
2000,Naftogaz,State-owned Entity,52.50464975
2001,Naftogaz,State-owned Entity,54.02728598
2002,Naftogaz,State-owned Entity,55.54992221
2003,Naftogaz,State-owned Entity,57.65768158
2004,Naftogaz,State-owned Entity,59.49424159
2005,Naftogaz,State-owned Entity,60.51951701
2006,Naftogaz,State-owned Entity,62.61556722
2007,Naftogaz,State-owned Entity,61.10835386
2008,Naftogaz,State-owned Entity,59.54700462
2009,Naftogaz,State-owned Entity,58.19026832
2010,Naftogaz,State-owned Entity,56.74584076
2011,Naftogaz,State-owned Entity,51.51623012
2012,Naftogaz,State-owned Entity,46.28661948
2013,Naftogaz,State-owned Entity,41.05700884
2014,Naftogaz,State-owned Entity,45.150557
2015,Naftogaz,State-owned Entity,43.14903638
2016,Naftogaz,State-owned Entity,42.49245252
2017,Naftogaz,State-owned Entity,43.65656459
2018,Naftogaz,State-owned Entity,44.05731789
2019,Naftogaz,State-owned Entity,42.8435141
2020,Naftogaz,State-owned Entity,40.68804597
2021,Naftogaz,State-owned Entity,36.39670658
2022,Naftogaz,State-owned Entity,32.22656892
1928,National Iranian Oil Co.,State-owned Entity,1.591892008
1929,National Iranian Oil Co.,State-owned Entity,1.621591485
1930,National Iranian Oil Co.,State-owned Entity,1.764148979
1931,National Iranian Oil Co.,State-owned Entity,1.701780075
1932,National Iranian Oil Co.,State-owned Entity,1.915616315
1933,National Iranian Oil Co.,State-owned Entity,2.102723025
1934,National Iranian Oil Co.,State-owned Entity,2.239340623
1935,National Iranian Oil Co.,State-owned Entity,2.224490884
1936,National Iranian Oil Co.,State-owned Entity,2.435357176
1937,National Iranian Oil Co.,State-owned Entity,3.01746694
1938,National Iranian Oil Co.,State-owned Entity,3.026376783
1939,National Iranian Oil Co.,State-owned Entity,2.845209969
1940,National Iranian Oil Co.,State-owned Entity,2.560094983
1941,National Iranian Oil Co.,State-owned Entity,1.960165532
1942,National Iranian Oil Co.,State-owned Entity,2.791750909
1943,National Iranian Oil Co.,State-owned Entity,2.88381929
1944,National Iranian Oil Co.,State-owned Entity,3.941120698
1945,National Iranian Oil Co.,State-owned Entity,5.001392054
1946,National Iranian Oil Co.,State-owned Entity,5.699329781
1947,National Iranian Oil Co.,State-owned Entity,5.996324559
1948,National Iranian Oil Co.,State-owned Entity,7.386260118
1949,National Iranian Oil Co.,State-owned Entity,7.962429986
1950,National Iranian Oil Co.,State-owned Entity,9.429584188
1951,National Iranian Oil Co.,State-owned Entity,33.10667312
1952,National Iranian Oil Co.,State-owned Entity,2.227460832
1953,National Iranian Oil Co.,State-owned Entity,4.454921663
1954,National Iranian Oil Co.,State-owned Entity,10.39481721
1955,National Iranian Oil Co.,State-owned Entity,46.92517485
1956,National Iranian Oil Co.,State-owned Entity,78.05523874
1957,National Iranian Oil Co.,State-owned Entity,105.218573
1958,National Iranian Oil Co.,State-owned Entity,120.1156906
1959,National Iranian Oil Co.,State-owned Entity,135.093167
1960,National Iranian Oil Co.,State-owned Entity,158.3885559
1961,National Iranian Oil Co.,State-owned Entity,182.2614282
1962,National Iranian Oil Co.,State-owned Entity,201.3977372
1963,National Iranian Oil Co.,State-owned Entity,224.787684
1964,National Iranian Oil Co.,State-owned Entity,251.9660555
1965,National Iranian Oil Co.,State-owned Entity,281.1731302
1966,National Iranian Oil Co.,State-owned Entity,313.5983708
1967,National Iranian Oil Co.,State-owned Entity,382.2147801
1968,National Iranian Oil Co.,State-owned Entity,417.4210628
1969,National Iranian Oil Co.,State-owned Entity,499.1302006
1970,National Iranian Oil Co.,State-owned Entity,586.360428
1971,National Iranian Oil Co.,State-owned Entity,682.6063098
1972,National Iranian Oil Co.,State-owned Entity,763.3289294
1973,National Iranian Oil Co.,State-owned Entity,904.3001878
1974,National Iranian Oil Co.,State-owned Entity,933.8992122
1975,National Iranian Oil Co.,State-owned Entity,834.9002327
1976,National Iranian Oil Co.,State-owned Entity,914.1592742
1977,National Iranian Oil Co.,State-owned Entity,872.2055703
1978,National Iranian Oil Co.,State-owned Entity,801.0158376
1979,National Iranian Oil Co.,State-owned Entity,489.2557617
1980,National Iranian Oil Co.,State-owned Entity,260.1284609
1981,National Iranian Oil Co.,State-owned Entity,216.1650281
1982,National Iranian Oil Co.,State-owned Entity,340.4554759
1983,National Iranian Oil Co.,State-owned Entity,377.7121247
1984,National Iranian Oil Co.,State-owned Entity,351.1762066
1985,National Iranian Oil Co.,State-owned Entity,371.2996012
1986,National Iranian Oil Co.,State-owned Entity,335.2695076
1987,National Iranian Oil Co.,State-owned Entity,375.6743814
1988,National Iranian Oil Co.,State-owned Entity,377.5057987
1989,National Iranian Oil Co.,State-owned Entity,466.1342722
1990,National Iranian Oil Co.,State-owned Entity,509.0613515
1991,National Iranian Oil Co.,State-owned Entity,548.3319485
1992,National Iranian Oil Co.,State-owned Entity,563.4718543
1993,National Iranian Oil Co.,State-owned Entity,592.9281977
1994,National Iranian Oil Co.,State-owned Entity,616.4849354
1995,National Iranian Oil Co.,State-owned Entity,629.8840033
1996,National Iranian Oil Co.,State-owned Entity,648.7084072
1997,National Iranian Oil Co.,State-owned Entity,664.5081383
1998,National Iranian Oil Co.,State-owned Entity,668.5318457
1999,National Iranian Oil Co.,State-owned Entity,677.4601841
2000,National Iranian Oil Co.,State-owned Entity,703.992783
2001,National Iranian Oil Co.,State-owned Entity,723.5358849
2002,National Iranian Oil Co.,State-owned Entity,706.9376678
2003,National Iranian Oil Co.,State-owned Entity,767.1102049
2004,National Iranian Oil Co.,State-owned Entity,813.6766937
2005,National Iranian Oil Co.,State-owned Entity,883.6123929
2006,National Iranian Oil Co.,State-owned Entity,883.6822644
2007,National Iranian Oil Co.,State-owned Entity,875.4347622
2008,National Iranian Oil Co.,State-owned Entity,907.224936
2009,National Iranian Oil Co.,State-owned Entity,970.8784998
2010,National Iranian Oil Co.,State-owned Entity,998.643216
2011,National Iranian Oil Co.,State-owned Entity,1012.20256
2012,National Iranian Oil Co.,State-owned Entity,934.6910286
2013,National Iranian Oil Co.,State-owned Entity,903.362182
2014,National Iranian Oil Co.,State-owned Entity,956.0085923
2015,National Iranian Oil Co.,State-owned Entity,992.2371898
2016,National Iranian Oil Co.,State-owned Entity,1161.317551
2017,National Iranian Oil Co.,State-owned Entity,1242.428632
2018,National Iranian Oil Co.,State-owned Entity,1251.796826
2019,National Iranian Oil Co.,State-owned Entity,1089.894341
2020,National Iranian Oil Co.,State-owned Entity,1072.22258
2021,National Iranian Oil Co.,State-owned Entity,1149.023418
2022,National Iranian Oil Co.,State-owned Entity,1208.826677
2015,Navajo Transitional Energy Company,Investor-owned Company,10.41325279
2016,Navajo Transitional Energy Company,Investor-owned Company,9.933345629
2017,Navajo Transitional Energy Company,Investor-owned Company,11.3950476
2018,Navajo Transitional Energy Company,Investor-owned Company,11.99767912
2019,Navajo Transitional Energy Company,Investor-owned Company,86.23492142
2020,Navajo Transitional Energy Company,Investor-owned Company,71.61423825
2021,Navajo Transitional Energy Company,Investor-owned Company,94.76517969
2022,Navajo Transitional Energy Company,Investor-owned Company,93.36209233
1959,Nigerian National Petroleum Corp.,State-owned Entity,0.162182971
1960,Nigerian National Petroleum Corp.,State-owned Entity,0.297352732
1961,Nigerian National Petroleum Corp.,State-owned Entity,0.770629939
1962,Nigerian National Petroleum Corp.,State-owned Entity,1.114312353
1963,Nigerian National Petroleum Corp.,State-owned Entity,1.17499867
1964,Nigerian National Petroleum Corp.,State-owned Entity,1.767375556
1965,Nigerian National Petroleum Corp.,State-owned Entity,3.987755513
1966,Nigerian National Petroleum Corp.,State-owned Entity,6.124828148
1967,Nigerian National Petroleum Corp.,State-owned Entity,4.686295191
1968,Nigerian National Petroleum Corp.,State-owned Entity,2.107766542
1969,Nigerian National Petroleum Corp.,State-owned Entity,7.880474553
1970,Nigerian National Petroleum Corp.,State-owned Entity,15.79063475
1971,Nigerian National Petroleum Corp.,State-owned Entity,55.83639976
1972,Nigerian National Petroleum Corp.,State-owned Entity,66.24945166
1973,Nigerian National Petroleum Corp.,State-owned Entity,75.01084994
1974,Nigerian National Petroleum Corp.,State-owned Entity,82.29690073
1975,Nigerian National Petroleum Corp.,State-owned Entity,65.10374912
1976,Nigerian National Petroleum Corp.,State-owned Entity,75.60736096
1977,Nigerian National Petroleum Corp.,State-owned Entity,76.40121997
1978,Nigerian National Petroleum Corp.,State-owned Entity,69.66811743
1979,Nigerian National Petroleum Corp.,State-owned Entity,143.834835
1980,Nigerian National Petroleum Corp.,State-owned Entity,181.1298995
1981,Nigerian National Petroleum Corp.,State-owned Entity,128.4710728
1982,Nigerian National Petroleum Corp.,State-owned Entity,115.2821172
1983,Nigerian National Petroleum Corp.,State-owned Entity,111.921931
1984,Nigerian National Petroleum Corp.,State-owned Entity,125.4595356
